Date,Campaign,Channel,Reach,Engagement,Conversions,Marketing Spend,Revenue Generated,Customer Acquisition Cost,Lifetime Value,ROI,Year,Month
2023-10-19,Campaign C,Organic Search,29381,8558,1043,26273.17,8077.1,258.94,1536.69,-69.25723085565998,2023,10
2024-03-11,Campaign C,PPC,53022,2590,1100,17046.71,86334.13,466.47,6721.18,406.45626047489526,2024,3
2024-03-07,Campaign D,Social Media,96722,1188,104,29995.72,21881.26,80.23,542.36,-27.052059427144947,2024,3
2023-11-13,Campaign B,Organic Search,53605,9899,1040,10065.24,17427.19,381.26,4820.35,73.14231950753285,2023,11
2024-01-23,Campaign C,Social Media,40063,2570,1755,28623.86,64599.82,111.37,7992.01,125.68521506184001,2024,1
2023-12-01,Campaign C,Organic Search,4361,7324,62,27480.12,20798.09,306.14,9536.01,-24.315869071896334,2023,12
2024-02-12,Campaign B,Organic Search,4980,466,1978,47861.21,11805.25,442.23,8836.53,-75.33440963987329,2024,2
2024-04-12,Campaign B,PPC,99570,6794,537,49283.11,49643.69,449.12,918.86,0.7316502550265227,2024,4
2023-07-07,Campaign B,Email,11904,2185,1953,13136.88,20313.8,363.88,3038.2,54.63184561326586,2023,7
2023-09-17,Campaign B,Organic Search,82712,3295,218,35366.15,99079.17,201.62,8399.04,180.15254699762343,2023,9
2023-08-23,Campaign A,Email,64637,4840,1265,40086.8,13513.46,378.68,4256.48,-66.28950178113494,2023,8
2024-02-10,Campaign B,Organic Search,72966,7841,1108,31122.41,59353.98,449.07,1136.92,90.7113877106561,2024,2
2024-01-07,Campaign A,PPC,85043,4846,165,15865.48,84505.37,247.34,5918.72,432.63670560235175,2024,1
2023-12-15,Campaign C,Social Media,36117,4508,1518,48221.31,35148.84,303.56,8681.57,-27.109321584170985,2023,12
2023-09-13,Campaign A,PPC,7432,6417,1692,22376.8,49807.73,63.76,8998.04,122.58647349040079,2023,9
2023-08-18,Campaign B,PPC,41297,392,207,32944.44,67093.84,27.0,7193.76,103.6575519268198,2023,8
2024-02-04,Campaign C,Organic Search,29474,9247,1013,46579.04,76913.6,58.08,1027.15,65.12491455384225,2024,2
2024-03-06,Campaign D,Email,19826,6927,340,33457.76,61771.19,36.61,597.16,84.62440402465676,2024,3
2023-10-25,Campaign B,PPC,87415,2288,1704,47435.53,50220.26,317.38,6076.06,5.87055736491192,2023,10
2024-04-12,Campaign D,Social Media,33074,3429,153,6655.06,94513.06,207.04,2317.11,1320.168413207394,2024,4
2024-05-24,Campaign D,PPC,33058,642,965,12012.81,29869.83,14.27,6967.48,148.6498163210773,2024,5
2024-01-14,Campaign D,Organic Search,94631,9104,1637,18185.55,27476.47,166.92,4802.18,51.08957386496423,2024,1
2024-05-22,Campaign A,Organic Search,24846,5601,1856,25423.45,61866.5,406.8,1864.82,143.34423534178092,2024,5
2023-12-20,Campaign B,Email,49941,3628,990,45024.6,29409.61,237.38,1593.76,-34.68101882082239,2023,12
2023-07-30,Campaign B,Social Media,52340,159,1765,32315.75,9394.38,401.92,4951.73,-70.92940748706127,2023,7
2023-07-04,Campaign A,PPC,98280,5929,1537,46514.75,69492.31,169.37,3421.95,49.39843812984053,2023,7
2024-03-12,Campaign D,PPC,22138,8649,791,33442.41,17498.69,7.36,4785.85,-47.675152598153076,2024,3
2023-07-29,Campaign B,Organic Search,12376,1418,899,25680.25,75557.22,334.71,7740.58,194.2230702582724,2023,7
2023-08-14,Campaign D,PPC,88050,8713,1792,33191.6,36527.64,186.55,1384.92,10.05085624073561,2023,8
2023-12-13,Campaign D,Email,22176,5288,479,18312.2,97232.76,179.96,1529.92,430.9725756599425,2023,12
2024-02-29,Campaign D,Email,77239,9653,1178,5006.06,48201.01,209.33,1199.35,862.8532218950631,2024,2
2023-07-10,Campaign C,Email,32628,6082,745,30017.49,71971.84,336.12,1693.14,139.76634955154475,2023,7
2023-08-10,Campaign D,PPC,79037,1597,1527,35287.99,89295.86,358.32,1032.0,153.04887016800902,2023,8
2023-09-29,Campaign D,Social Media,35965,8969,601,39755.81,45064.74,19.38,8422.87,13.353846896843507,2023,9
2023-11-29,Campaign D,Email,16836,5012,205,3008.61,49850.59,311.08,8348.17,1556.9309415311388,2023,11
2024-03-25,Campaign B,Social Media,92393,7757,1269,37973.93,17771.37,385.15,5608.58,-53.201130354430006,2024,3
2023-10-13,Campaign A,Email,28771,1702,1493,45445.19,75342.07,272.46,4750.87,65.78667621369831,2023,10
2023-12-06,Campaign A,Email,27484,5410,1733,26199.65,73095.93,226.74,2691.71,178.99582628012203,2023,12
2024-04-04,Campaign A,Organic Search,97517,5942,1720,49386.15,29461.59,371.91,9846.67,-40.34442854929976,2024,4
2024-02-10,Campaign A,Email,59732,3816,1583,2215.21,33074.26,470.18,4317.42,1393.053028832481,2024,2
2024-05-22,Campaign C,Organic Search,43019,8396,251,35884.17,89179.2,156.29,4010.8,148.51961185113103,2024,5
2023-12-10,Campaign B,Organic Search,98810,6128,1190,26730.57,94473.12,341.72,2476.88,253.42725575997815,2023,12
2024-04-19,Campaign B,PPC,84217,8336,348,5717.62,44607.32,271.99,2707.25,680.1728691308621,2024,4
2023-12-15,Campaign D,Social Media,64538,1305,37,22421.32,22188.58,418.84,6928.01,-1.0380298751366912,2023,12
2024-05-16,Campaign D,Social Media,77165,1425,828,42805.29,78478.31,289.15,1251.09,83.33787716424767,2024,5
2023-07-02,Campaign B,PPC,11621,8621,750,5676.3,51738.05,319.39,2954.9,811.4749044271797,2023,7
2024-02-25,Campaign B,PPC,89919,4938,1419,43533.21,33839.66,273.92,9680.79,-22.267023267983216,2024,2
2024-05-23,Campaign C,PPC,62158,4276,768,49318.02,20996.09,300.12,9623.96,-57.42714326325347,2024,5
2024-05-27,Campaign B,Organic Search,47753,2744,1920,17361.39,29028.22,59.14,9303.67,67.19986130142807,2024,5
2024-05-09,Campaign B,Organic Search,53082,6733,727,23060.44,20705.56,70.01,1493.8,-10.211773929725528,2024,5
2023-11-30,Campaign D,Organic Search,43100,3087,1946,23539.77,40172.93,27.81,7971.49,70.65982377907686,2023,11
2024-01-19,Campaign C,Email,78651,2974,920,35189.39,53684.72,322.52,6067.83,52.559393612677006,2024,1
2023-09-18,Campaign D,Organic Search,97620,4156,911,12241.24,14943.18,111.88,2309.26,22.072437106044816,2023,9
2024-04-25,Campaign D,Organic Search,87236,3438,1663,5008.73,86921.9,416.23,1455.05,1635.4079776709866,2024,4
2023-06-26,Campaign D,PPC,13235,4842,1553,2893.74,20509.34,24.53,6643.0,608.748539951758,2023,6
2023-11-10,Campaign A,PPC,70525,4848,1135,27732.81,26288.86,118.9,8475.38,-5.20664873123207,2023,11
2023-07-28,Campaign A,Organic Search,10429,4544,1622,6110.97,37665.0,140.66,2396.77,516.3505957319377,2023,7
2023-06-25,Campaign D,PPC,34170,9980,711,41201.66,98570.19,347.73,8294.81,139.23839476370608,2023,6
2024-04-07,Campaign D,PPC,33310,4187,902,47961.64,23666.69,181.55,1351.03,-50.65496092293758,2024,4
2023-11-27,Campaign B,Email,60897,9056,1873,49600.6,57356.53,463.96,5065.0,15.636766490727934,2023,11
2023-09-01,Campaign A,Email,89382,6762,1076,18149.25,93005.71,135.09,3140.03,412.4493298621156,2023,9
2024-03-24,Campaign A,Email,3346,4814,1904,46737.93,98062.05,32.9,7900.1,109.8125655115663,2024,3
2023-08-17,Campaign C,Email,3283,4249,97,40505.35,31305.26,243.36,4476.64,-22.713271209852525,2023,8
2023-08-06,Campaign A,Social Media,22490,9002,1935,35336.32,26783.71,491.23,340.44,-24.20345412312318,2023,8
2024-04-20,Campaign B,Organic Search,78827,8797,1417,42085.22,51135.03,77.48,5316.08,21.5035349702342,2024,4
2023-09-23,Campaign A,Email,61619,4238,518,17196.27,30878.17,168.06,8564.66,79.5631843417206,2023,9
2023-08-26,Campaign A,PPC,71187,1893,646,46965.33,17156.76,240.94,2901.78,-63.46930810451029,2023,8
2023-08-06,Campaign C,Email,68967,592,1877,27061.51,84546.27,480.87,6215.1,212.42258839214813,2023,8
2023-09-14,Campaign D,Email,68725,6113,1393,13995.93,27455.17,367.03,5171.7,96.16538522270402,2023,9
2023-09-10,Campaign B,Email,79873,2996,380,33273.01,98454.16,239.08,8311.42,195.89796655006563,2023,9
2023-06-28,Campaign A,Organic Search,47931,2125,1925,18333.49,65149.02,321.55,6564.82,255.3552542369183,2023,6
2023-11-18,Campaign D,Organic Search,23001,4642,1059,31814.86,27340.24,131.27,7774.58,-14.064559768611268,2023,11
2024-03-07,Campaign B,Organic Search,12823,4937,1871,16068.74,98629.62,169.25,2848.78,513.798094934637,2024,3
2024-05-24,Campaign B,Social Media,17593,9409,154,9801.98,88667.91,188.93,4816.12,804.5918273654916,2024,5
2023-12-18,Campaign B,Social Media,11692,3365,1963,26025.94,45758.3,123.25,6429.04,75.8180492231981,2023,12
2023-08-23,Campaign B,PPC,70811,2797,1345,32814.09,85028.12,422.91,6619.54,159.1207618434642,2023,8
2023-08-31,Campaign B,Email,23298,8002,1049,2743.82,98469.62,251.06,7876.32,3488.7784184093703,2023,8
2023-07-21,Campaign C,Organic Search,50150,7488,1973,2423.13,99464.29,373.86,1339.79,4004.7855459674056,2023,7
2023-12-02,Campaign D,PPC,62609,2408,1774,33960.82,56998.75,486.0,6620.49,67.83678957104098,2023,12
2023-08-10,Campaign A,Email,67202,9935,240,8666.31,93803.81,119.27,7825.99,982.3961986127891,2023,8
2023-10-07,Campaign C,Organic Search,31772,447,1871,8520.16,74493.85,493.79,9386.27,774.3245432010667,2023,10
2023-12-30,Campaign D,Organic Search,19766,9181,1545,29906.66,76603.08,318.24,9258.63,156.1405385957509,2023,12
2023-10-30,Campaign C,Social Media,47909,6832,1247,37148.21,80652.91,246.53,2087.92,117.11116094153664,2023,10
2023-07-23,Campaign C,Organic Search,31584,3789,773,5434.62,75050.78,99.21,9105.71,1280.97567079207,2023,7
2023-10-22,Campaign A,PPC,56502,4915,1300,36835.79,21628.78,448.31,8861.88,-41.28324653821732,2023,10
2023-08-02,Campaign A,Organic Search,77557,6050,388,10559.14,29798.94,145.34,9860.45,182.20991482260865,2023,8
2023-09-22,Campaign B,Social Media,2438,5178,832,42533.01,21302.39,9.06,7205.37,-49.91563023637406,2023,9
2023-09-02,Campaign A,Organic Search,51833,9055,1666,30515.64,29428.1,461.82,930.44,-3.563877408437119,2023,9
2023-12-12,Campaign B,Organic Search,18794,7956,97,32581.13,82625.21,285.53,1609.72,153.59835585813016,2023,12
2024-05-05,Campaign C,PPC,6846,2046,65,20095.25,20501.87,364.38,8155.56,2.0234632562421417,2024,5
2023-12-04,Campaign D,Organic Search,6714,1097,1965,12829.59,67280.38,415.9,4928.65,424.41566721929547,2023,12
2023-12-11,Campaign A,Social Media,12390,1175,1454,19151.17,59875.25,129.57,9839.97,212.6453892895317,2023,12
2023-06-29,Campaign A,PPC,9675,8186,1595,30434.25,70692.57,330.19,7967.33,132.2796520367678,2023,6
2024-04-12,Campaign A,Email,34507,4602,1882,32986.36,91868.94,433.06,9878.49,178.50584302117602,2024,4
2024-02-23,Campaign B,PPC,88888,1810,1356,8951.24,56096.66,132.87,3463.04,526.6914974908505,2024,2
2023-08-19,Campaign C,Email,76789,506,737,35510.07,58663.77,227.08,8789.81,65.20319447413085,2023,8
2023-10-11,Campaign C,Organic Search,45515,8025,1275,32619.2,98060.9,131.87,3719.29,200.62325256290774,2023,10
2024-02-28,Campaign B,Email,66506,4775,465,1639.0,25673.88,398.99,1223.84,1466.4356314826114,2024,2
2023-06-20,Campaign A,Organic Search,3742,2519,1783,43562.82,41717.3,240.05,1613.16,-4.236456684851891,2023,6
2023-08-20,Campaign D,Organic Search,66006,947,879,34439.09,95887.51,140.16,6532.02,178.42637537751435,2023,8
2023-09-28,Campaign B,Email,16176,1592,551,11538.54,93499.01,244.0,3855.5,710.3192431624798,2023,9
2023-06-12,Campaign A,PPC,16282,3851,1547,13244.8,34436.13,184.8,9208.91,159.99735745349116,2023,6
2023-10-08,Campaign D,Social Media,51170,4161,1206,42773.12,79301.88,43.48,3592.41,85.40120524291892,2023,10
2024-02-15,Campaign D,Social Media,74408,832,285,11821.5,66867.42,151.67,4005.74,465.6424311635579,2024,2
2023-08-16,Campaign B,PPC,17052,308,1607,1525.71,5198.35,96.58,7610.25,240.71678103964712,2023,8
2023-09-25,Campaign C,PPC,55438,2069,548,17080.04,77039.48,74.41,5836.26,351.0497633495003,2023,9
2024-05-05,Campaign A,Social Media,67098,6278,1249,21701.05,87695.63,20.5,4215.43,304.1077735869924,2024,5
2024-02-04,Campaign A,Social Media,66523,3162,458,23369.73,42383.93,279.22,8715.11,81.36251467175701,2024,2
2023-06-01,Campaign A,Social Media,27604,567,1923,48383.82,80376.68,229.13,811.08,66.12305518663057,2023,6
2024-02-07,Campaign B,PPC,41802,2841,1476,17980.64,10666.44,197.99,4941.73,-40.67819610425435,2024,2
2024-01-22,Campaign A,Email,92846,7289,1196,40017.13,88566.15,146.98,5529.28,121.32059445542447,2024,1
2024-01-23,Campaign C,PPC,89150,3709,1515,9950.23,55278.17,53.37,1168.59,455.546655705446,2024,1
2024-02-04,Campaign C,Social Media,11490,9446,705,9690.15,39094.54,90.3,5333.39,303.44617988369635,2024,2
2023-12-04,Campaign A,Social Media,73773,2753,1011,44928.46,25400.81,293.15,5036.97,-43.463875681472274,2023,12
2023-10-03,Campaign B,Social Media,91962,8303,474,18871.74,57056.69,190.82,3050.27,202.3393179431255,2023,10
2023-06-23,Campaign B,Organic Search,29239,9248,1146,20369.32,76413.61,441.88,3928.55,275.140701800551,2023,6
2024-04-17,Campaign C,PPC,50729,2302,1918,5076.13,29336.87,113.17,4043.89,477.93772027115136,2024,4
2023-08-16,Campaign B,PPC,76199,3659,1952,16831.68,13271.46,243.74,8540.05,-21.151899275651633,2023,8
2024-04-11,Campaign A,Email,25334,5911,705,18122.68,58241.07,479.86,2061.36,221.37117688995227,2024,4
2023-09-27,Campaign D,Organic Search,53236,1165,249,14628.58,52387.72,82.01,6084.96,258.1189698521661,2023,9
2023-06-14,Campaign A,Organic Search,94873,6080,1105,4075.16,16923.24,190.05,9546.16,315.27792773780664,2023,6
2024-04-24,Campaign B,Organic Search,41960,5649,164,20579.84,86251.1,483.56,5919.78,319.10481325413616,2024,4
2023-08-31,Campaign C,Social Media,24942,5445,197,46837.5,65071.78,16.23,914.41,38.93094208700293,2023,8
2024-04-11,Campaign C,Email,18666,8953,1193,32024.58,40993.54,432.16,1874.46,28.006487516776176,2024,4
2024-04-26,Campaign A,Email,72708,6153,1923,40368.89,70434.1,481.65,1012.99,74.47618698458146,2024,4
2024-04-20,Campaign C,Social Media,88799,5283,199,46009.81,94438.48,456.09,8347.07,105.25727013434745,2024,4
2023-10-28,Campaign C,Email,74759,6306,1944,33651.6,39481.47,451.36,7319.56,17.32419855222338,2023,10
2024-04-08,Campaign A,PPC,9716,6524,1462,28299.08,65780.78,146.56,3527.32,132.44847535679602,2024,4
2023-06-19,Campaign B,PPC,64340,3967,1750,42011.71,40855.96,132.53,8536.42,-2.7510187040708414,2023,6
2024-02-14,Campaign A,Email,73538,1647,1142,43933.03,14759.13,467.29,7593.92,-66.4053902041357,2024,2
2024-04-20,Campaign A,Social Media,26755,5903,750,20225.05,25615.87,155.42,9489.53,26.654173908099114,2024,4
2023-06-12,Campaign D,PPC,70952,732,308,48246.28,88972.75,179.54,2443.65,84.41369987489192,2023,6
2023-07-07,Campaign C,Organic Search,36321,5778,1569,47881.0,84844.96,413.92,2536.72,77.19964077609075,2023,7
2024-01-12,Campaign B,Social Media,69199,4833,1914,43142.25,66576.28,431.13,2189.62,54.31805248914926,2024,1
2023-09-24,Campaign A,Organic Search,16381,2570,1031,13947.08,53241.71,166.26,997.61,281.7409092082357,2023,9
2023-12-20,Campaign D,Organic Search,14086,7803,843,43272.73,36755.74,179.44,2511.56,-15.060270059226688,2023,12
2024-01-06,Campaign B,Organic Search,62241,9867,1294,5111.91,60303.07,263.09,1773.22,1079.6582881936497,2024,1
2024-02-25,Campaign A,Social Media,72615,9375,1552,34213.26,58000.93,10.87,9117.34,69.52763343802957,2024,2
2023-09-20,Campaign D,PPC,48810,3585,1002,8896.01,5392.57,342.05,4200.09,-39.3821499751012,2023,9
2023-07-12,Campaign B,Email,8958,2622,1881,29062.1,10200.37,54.44,6973.26,-64.90146961162475,2023,7
2023-06-11,Campaign B,Social Media,13031,4598,237,27330.31,78804.8,206.56,2186.22,188.34213735592462,2023,6
2023-07-05,Campaign A,Social Media,29542,7498,902,15072.75,63610.2,483.3,1201.26,322.021197193611,2023,7
2023-06-15,Campaign D,Email,44368,5605,1470,46257.6,46973.86,335.32,4879.68,1.5484158278855842,2023,6
2024-03-21,Campaign D,Organic Search,65930,8826,431,24195.28,29225.73,409.1,2557.89,20.791038582731844,2024,3
2024-05-26,Campaign A,Organic Search,45994,6534,1885,42172.27,24340.45,416.77,1208.89,-42.283282355917756,2024,5
2024-03-26,Campaign A,Organic Search,65332,7678,144,7544.5,26450.38,188.94,3060.74,250.591556763205,2024,3
2024-05-23,Campaign B,PPC,68386,9746,1547,40315.39,68584.02,242.94,6972.94,70.11870652869786,2024,5
2024-02-10,Campaign D,Email,63122,5865,1014,36846.77,93641.94,50.68,4272.69,154.13880239706225,2024,2
2024-03-09,Campaign A,Organic Search,95828,7484,1361,15775.91,50444.88,373.01,5226.19,219.75892357398084,2024,3
2023-09-07,Campaign A,PPC,79927,481,217,33503.97,69623.75,220.65,5918.01,107.80746281709301,2023,9
2023-11-16,Campaign A,Social Media,70067,8849,1243,14824.52,15933.3,307.2,9314.77,7.479365267813047,2023,11
2023-09-24,Campaign D,Email,84431,7063,806,26250.28,82283.81,344.51,9127.12,213.45878977290909,2023,9
2024-05-07,Campaign B,PPC,22668,6626,144,11740.21,96214.46,340.78,9467.64,719.5292929172477,2024,5
2023-09-17,Campaign D,PPC,2495,2335,1700,21225.41,81951.59,110.57,9663.93,286.10132854913047,2023,9
2024-04-06,Campaign D,Social Media,89044,9730,1031,26060.49,74763.32,259.92,4390.62,186.8837846103431,2024,4
2023-08-05,Campaign B,PPC,12498,7780,1225,23775.81,78063.46,130.02,5115.49,228.33144275631412,2023,8
2023-06-23,Campaign A,Organic Search,96685,3183,676,12130.13,45489.05,399.73,3975.76,275.00875918065185,2023,6
2024-01-25,Campaign D,Organic Search,80899,7416,559,47081.99,59650.25,358.56,7593.66,26.69441117505866,2024,1
2023-06-17,Campaign B,PPC,22863,4247,1468,6706.33,40039.23,185.65,3527.29,497.03638204502323,2023,6
2023-11-19,Campaign A,Email,87234,7356,1838,3979.39,29838.02,487.99,7884.58,649.8139162032372,2023,11
2023-11-01,Campaign A,Organic Search,17899,5284,913,19302.09,9791.17,67.32,6463.09,-49.274042344637294,2023,11
2024-04-16,Campaign D,PPC,19049,9967,988,48206.45,19891.82,174.5,7860.33,-58.7361857178863,2024,4
2023-12-05,Campaign A,Email,8379,8001,806,38998.15,53865.19,463.1,3636.52,38.12242375599868,2023,12
2024-01-01,Campaign A,PPC,61692,8843,334,6820.23,16820.26,399.72,1759.04,146.6230610991125,2024,1
2023-08-04,Campaign B,Organic Search,44335,5597,1675,14862.99,75877.66,175.65,8609.35,410.51410247870723,2023,8
2023-12-29,Campaign A,Social Media,13779,9407,869,28662.84,45494.88,151.81,7823.87,58.72425761020191,2023,12
2024-01-31,Campaign D,PPC,5715,3830,72,8657.67,18198.84,376.97,3935.07,110.20482416169708,2024,1
2023-06-20,Campaign B,Social Media,66845,9194,1371,17837.99,20681.44,211.86,2322.35,15.940417053715114,2023,6
2024-05-19,Campaign B,Organic Search,14831,9983,1349,1914.89,71578.72,397.42,9025.43,3638.0068829018896,2024,5
2024-03-29,Campaign B,Social Media,64517,9346,387,26122.93,23934.85,433.93,5840.04,-8.376089512164224,2024,3
2024-02-16,Campaign B,Organic Search,18863,1105,1789,23278.94,28297.02,201.01,7738.23,21.556307976222293,2024,2
2024-01-19,Campaign A,PPC,80546,9356,1792,36801.91,52942.01,310.98,4794.33,43.85669113369387,2024,1
2024-02-08,Campaign A,Social Media,32553,9703,589,12877.7,14030.49,154.11,9097.67,8.951831460586899,2024,2
2023-11-18,Campaign C,PPC,86646,3266,527,38800.84,19276.74,283.6,9417.8,-50.31875598569515,2023,11
2023-12-04,Campaign D,Social Media,26615,9272,1016,49269.92,42886.65,350.12,7004.55,-12.95571415581758,2023,12
2023-10-25,Campaign D,Email,44586,1530,63,48891.41,82610.76,72.61,7142.87,68.96784118109906,2023,10
2023-07-27,Campaign A,Email,40968,7321,1309,3885.5,47572.18,448.67,4612.37,1124.3515635053404,2023,7
2024-03-11,Campaign A,Social Media,96183,8023,496,11402.18,85966.63,79.21,6859.07,653.9490693884854,2024,3
2024-03-07,Campaign A,Organic Search,51096,2109,103,27723.78,46507.89,323.93,7906.01,67.75450533801668,2024,3
2024-01-05,Campaign B,Email,60323,5032,1703,32938.48,82315.69,80.45,781.73,149.90737277494284,2024,1
2023-12-15,Campaign A,Social Media,57700,146,1439,35555.63,77048.53,205.13,8545.15,116.69853691243834,2023,12
2023-06-27,Campaign B,Social Media,16464,6088,826,20674.38,19890.01,277.94,8496.6,-3.7939227198107153,2023,6
2023-11-23,Campaign A,Email,13847,2823,1178,12971.17,6623.3,49.06,3291.04,-48.93829932072434,2023,11
2023-11-06,Campaign C,Email,87045,9155,153,32380.69,86053.71,442.27,9454.24,165.75625781908911,2023,11
2023-11-03,Campaign A,Email,10140,2996,737,39009.05,18910.56,296.06,8707.44,-51.52263385035011,2023,11
2024-03-26,Campaign A,Organic Search,24787,1869,1582,24748.06,75594.1,109.8,9765.09,205.45464977860894,2024,3
2024-02-03,Campaign B,Email,63288,1697,817,6247.92,51684.66,320.65,8619.55,727.2298620981063,2024,2
2023-10-23,Campaign D,Organic Search,52274,5934,1795,16761.9,93585.43,242.94,8685.62,458.32232622793356,2023,10
2024-01-31,Campaign D,Email,2929,4750,1482,5413.79,64407.32,33.12,9280.87,1089.690032306388,2024,1
2023-12-13,Campaign B,Organic Search,62163,177,1120,43416.61,40871.49,39.21,4830.38,-5.86208826529755,2023,12
2023-07-07,Campaign B,Social Media,97922,2627,925,1298.17,9541.59,493.16,4573.3,635.0031197763004,2023,7
2023-07-02,Campaign D,PPC,10883,4316,669,43093.44,65132.89,78.55,124.33,51.14339908812106,2023,7
2024-04-25,Campaign C,PPC,59624,1631,596,43222.41,20084.43,78.93,7061.91,-53.53236897248441,2024,4
2024-04-27,Campaign A,PPC,5779,5661,554,48203.45,18827.51,108.09,5917.02,-60.941571609500976,2024,4
2024-03-06,Campaign C,PPC,23699,8514,1008,16158.1,86988.67,174.62,6866.22,438.35952246860705,2024,3
2023-09-25,Campaign C,PPC,14451,722,986,45077.43,34736.81,275.73,9856.55,-22.93968400594267,2023,9
2024-05-17,Campaign B,Social Media,53714,1778,1631,37787.98,17327.73,489.14,5213.07,-54.14486299611676,2024,5
2023-08-18,Campaign C,Social Media,53599,1136,534,17532.44,44036.01,111.18,6129.05,151.16874776129282,2023,8
2024-01-10,Campaign A,Social Media,6021,5255,461,27841.32,68677.12,32.99,6739.6,146.67336175152613,2024,1
2024-01-20,Campaign A,PPC,62321,2756,1498,28534.97,95451.45,491.26,1367.13,234.5069225585308,2024,1
2023-06-10,Campaign B,Social Media,86894,6337,1811,31124.69,44387.9,297.85,7147.88,42.613147311668016,2023,6
2023-09-22,Campaign C,Organic Search,98678,6852,52,1444.35,96638.01,43.88,1567.67,6590.761242081213,2023,9
2024-05-25,Campaign A,Organic Search,53351,6112,388,12851.35,69179.07,229.42,3901.61,438.3019682757065,2024,5
2023-06-25,Campaign C,Social Media,3897,2207,1548,22737.23,84922.01,142.48,632.43,273.4932091552049,2023,6
2023-06-22,Campaign B,Organic Search,45303,9689,309,40582.31,77886.25,436.1,4903.65,91.92167720368802,2023,6
2023-12-17,Campaign A,Email,39387,813,1398,21504.28,92370.56,348.49,7111.35,329.5450022042124,2023,12
2024-02-12,Campaign B,Email,17215,2227,800,36885.34,73080.37,7.17,1068.83,98.1284976632993,2024,2
2023-11-30,Campaign B,Email,41128,8730,1703,21832.36,26323.18,427.94,7497.27,20.56955821541968,2023,11
2024-02-06,Campaign B,Social Media,96567,7994,940,48513.97,92761.19,309.71,516.96,91.20511061040769,2024,2
2024-03-10,Campaign C,Social Media,35001,9234,270,18477.93,16178.98,287.73,8416.32,-12.441599248400664,2024,3
2024-02-27,Campaign B,Email,93279,3981,15,3316.43,78364.55,154.3,3439.38,2262.9188615469047,2024,2
2023-09-17,Campaign B,Email,31133,1711,433,49163.9,65714.33,461.76,3314.9,33.663785826592274,2023,9
2024-02-26,Campaign C,PPC,84481,5111,1841,27669.6,77797.66,476.21,9905.9,181.16655101627782,2024,2
2024-05-06,Campaign C,PPC,56065,9572,1050,29226.16,29276.64,132.28,3521.8,0.17272197236995748,2024,5
2024-04-26,Campaign C,Email,78682,2285,753,33322.6,51996.93,228.45,4877.93,56.04103521333871,2024,4
2023-09-13,Campaign C,PPC,51515,9644,276,13170.35,46736.92,301.52,151.92,254.86467709666027,2023,9
2024-02-25,Campaign C,Email,98676,7525,633,48934.79,10264.6,284.62,9970.28,-79.02392142686216,2024,2
2024-04-01,Campaign A,PPC,71914,4195,877,32845.97,48845.67,309.52,9321.16,48.71130309136858,2024,4
2023-07-26,Campaign B,Organic Search,96323,6145,1135,1473.57,45053.98,224.39,6324.35,2957.471311169473,2023,7
2024-01-18,Campaign A,PPC,85323,3075,971,5402.49,80610.06,217.56,9717.72,1392.0908692103085,2024,1
2023-07-30,Campaign A,Organic Search,46604,9600,89,43319.96,53173.12,169.03,2120.07,22.745081020388763,2023,7
2024-03-06,Campaign C,Organic Search,76739,2336,858,1122.61,43778.45,136.16,6047.32,3799.7024790443697,2024,3
2023-10-16,Campaign A,Email,8168,8126,656,44602.23,62720.1,97.89,2879.72,40.62099585603678,2023,10
2024-03-23,Campaign C,PPC,76084,443,1720,20176.89,62503.45,64.07,6241.09,209.7774235771717,2024,3
2023-06-06,Campaign B,Email,21309,9928,170,7918.3,62388.02,326.91,852.39,687.8966444817701,2023,6
2023-07-15,Campaign A,Organic Search,36926,8430,1407,21467.93,6266.36,377.34,7570.06,-70.81059981097386,2023,7
2023-07-10,Campaign D,Social Media,61776,6224,723,33676.46,25136.54,368.74,7791.42,-25.35872238352843,2023,7
2024-03-07,Campaign B,Email,37433,6101,1125,29456.71,64793.53,383.92,5330.76,119.96186946878997,2024,3
2023-12-27,Campaign C,Organic Search,63799,9904,639,17710.84,20208.78,449.78,8628.13,14.104017652465938,2023,12
2023-12-28,Campaign D,Email,71020,6882,1826,8919.35,7365.53,10.9,4733.89,-17.42077617763627,2023,12
2024-04-24,Campaign A,Social Media,30694,5896,466,12194.42,71369.43,154.39,8184.41,485.2630137390708,2024,4
2023-06-22,Campaign A,PPC,18603,3157,1935,13011.31,41582.18,113.25,1839.19,219.58488422764506,2023,6
2023-06-07,Campaign C,Email,28658,8558,856,8217.44,46063.9,251.23,2472.89,460.56265698319663,2023,6
2023-07-05,Campaign C,PPC,79885,6164,434,42639.27,53187.72,300.06,3126.92,24.738814712353204,2023,7
2023-07-03,Campaign B,Social Media,73590,1178,1232,42016.82,59263.14,71.86,8632.05,41.04622862939175,2023,7
2024-01-07,Campaign B,Organic Search,6366,1016,564,13232.3,43528.13,92.43,344.4,228.9536210636095,2024,1
2023-12-04,Campaign D,PPC,72232,8589,1582,44927.08,30634.91,150.48,3787.94,-31.81192723853854,2023,12
2023-11-25,Campaign C,Social Media,25827,6675,461,37450.55,97918.07,186.9,9357.64,161.45963143398427,2023,11
2023-10-01,Campaign C,Organic Search,39624,6876,104,16433.31,23385.89,207.82,9702.6,42.30784911864985,2023,10
